Container ID,Description,Origin
FGHK1234567,23456 KGS 43.187 CUBIC METER 765 CARTON TOOLS & GADGETS HS CODES 821290. SHIPPER DECLARES.,"Shenzhen, China"
PQRT5678901,IN 30 PALLETS OF ELECTRONICS AND COMPUTER PARTS CONTAINING CLASSIFIED MATERIAL. ,"Tokyo, Japan"
MNOP9876543,LOADED ON 25 PLT(S) EPOXY RESIN HS-CODE32141010. ,"Seoul, South Korea"
IJGH4567890,GRIMBERGEN AMBREE 7.5% ABV. BEER EACH 24/33CL BOTTLES CB 4160410 / 278214357. ,"Berlin, Germany"
TYUI9876543,"ON 11 PALLETS CONTAINING PLASTIC PARTS ALUTHENE 60-IV E 133/6 SIN IMPRESION, ANCHO 50 MM BBL ALUTHENE 60-IV E 133/8 ANCHO 80 MM SIN IMPRESION NET WEIGHT 4321 KG CIF PUERTO RICO. ","Paris, France"
KLMI7890123,CONTAINING PALLETS OF SPARE PARTS AND TOOLS HS CODES 940340. SHIPPER DECLARES.,"Beijing, China"
ZXCDE5678901,IN 45 PALLETS OF TEXTILES AND CLOTHING ITEMS CONTAINING PERISHABLE GOOD. ,"Rome, Italy"
FGHK0987654,LOADED ON 18 PLT(S) VULCANIZED RUBBER HS-CODE4013920. ,"Moscow, Russia"
PQRT4567890,GRIMBERGEN AMBREE 8% ABV. BEER EACH 24/33CL BOTTLES CB 4160410 / 278214357. ,"Vienna, Austria"
MNOP5678901,ON 15 PALLETS CONTAINING ALUMINUM FOIL IN PALLETS OF 9 SIZES ALUMINUM FOIL IN ROLLS HS CODES 76060100 / 79011050. ,"Athens, Greece"
PQRS6789012,21547 KGS 34.123 CUBIC METER 900 CARTON TOOLS & HARDWARE HS CODES 732100. SHIPPER DECLARES. ,"Seoul, South Korea"
MNOP5678901,IN 50 PALLETS OF FURNITURE CONTAINING LIGHT FIXTURES AND LAMPS. ,"Shanghai, China"
UVWX1234567,LOADED ON 25 PLT(S) EPOXY RESIN HS-CODE32079000. ,"Tokyo, Japan"
STUV6543210,EACH 6/500ML BOTTLES CB 4151012 / 265219354. BEVERAGES WITH FLAVORINGS AND COLOURANTS. ,"Moscow, Russia"
KLMN9876543,ON 11 PALLETS CONTAINING DRY WALL MORTAR 20KG BAGS. NET WEIGHT 22070 KG CIF GUAYAQUIL. ,"Bangkok, Thailand"
IJHK5432109,17025 KGS 16.321 CUBIC METER 250 CARTON FURNITURE & PARTS HS CODES 940100. SHIPPER DECLARES. ,"Rio de Janeiro, Brazil"
GFDX7654321,IN 30 PALLETS OF ELECTRONIC COMPONENTS AND CIRCUITS CONTAINING FINE TUNES FOR COMPUTERS AND OTHER DIGITAL ELETRONICS. ,"Istanbul, Turkey"
CBAE1234567,EACH 1/0.75LTR BOTTLES CB 4160313 / 278214356. BEVERAGES WITH FLAVORINGS AND COLOURANTS. ,"Sydney, Australia"
YUIO7890123,ON 15 PALLETS CONTAINING METAL FABRICATIONS WITH TUBES (TUBOS) AND FITTINGS FOR OIL INDUSTRY HS-CODE73089010. ,"Lima, Peru"
OPQW6543210,18765 KGS 41.902 CUBIC METER 350 CARTON MEDICAL & PHARMACEUTICAL GOODS HS CODES 300600. SHIPPER DECLARES. ,Hong Kong
QWERT5678901,13578 KGS 45.321 CUBIC METER 421 CARTON TOYS & GAMES HS CODES 950390. SHIPPER DECLARES.,"Shenzhen, China"
MNOP1234567,IN 30 PALLETS OF ELECTRONICS AND ACCESSORIES CONTAINING FULGURITE LIGHTNING ARRESTERS HS CODE 85423010. ,"Beijing, China"
VGBN9876543,LOADED ON 25 PLT(S) ECO-FRIENDLY PLASTIC BOTTLES HS-CODE 39231090. ,"Shanghai, China"
IHGF1234567,GRIMBERGEN AMBREE 6.5% ABV. BEER EACH 24/33CL BOTTLES CB 4160410 / 278214357. ,"Hamburg, Germany"
JKLZ3456789,ON 18 PALLETS CONTAINING PAPER CUPS AND LIDS HS CODE 48191010 NET WEIGHT 8765 KG FOB GUAYMAS. ,Hong Kong
ZYXC6543210,LOADED ON 15 PLT(S) PRE-PREG CARBON FIBER HS-CODE 67039100. ,"Shenzhen, China"
QAZX9876543,IN 20 PALLETS OF CHEMICALS AND REAGENTS CONTAINING HCL CONCENTRATE HS CODE 28030010. ,"Hamburg, Germany"
VWBX1234567,ON 12 PALLETS CONTAINING FURNITURE HARDWARE AND ACCESSORIES CB 4201210 NET WEIGHT 4211 KG CIF GUAYMAS. ,"Beijing, China"
HJKL7654321,GRANADA PEAR 6.5% ABV BEER EACH 24/33CL BOTTLES CB 4160410 / 278214357. ,"Hamburg, Germany"
MNBV6543210,LOADED ON 10 PLT(S) FABRICATED METAL PARTS HS-CODE 73089090 NET WEIGHT 8543 KG CPT GUAYMAS. ,"Shenzhen, China"
PQRS9876543,2156 KGS 15.682 CUBIC METER 300 CARTONS KNITTED FABRIC HS CODES 620513 SHIPPER DECLARES.,"Tokyo, Japan"
MNOP1234567,IN 50 PALLETS CONTAINING ELECTRONIC COMPONENTS AND SPARE PARTS FOR MOBILE PHONES. ,"Seoul, South Korea"
VWXZ9876543,"LOADED ON 15 PLT(S) COTTON FABRIC, HANDBLING CAREFULLY WHEN UNLOADING. HS CODE 5208.10.","Mumbai, India"
EFGH1234567,8765 KGS 11.111 CUBIC METER 200 CARTONS FURNITURE PARTS & ACCESSORIES SHIPPER DECLARES HS CODE 9403.,Hong Kong
IJKL9876543,"ON 8 PALLETS CONTAINING PET FOOD IN BAGS, NET WEIGHT 4500 KG CIF LOS ANGELES. ","Sydney, Australia"
KLMN4321098,"GRANITE SLABS FOR CONSTRUCTION PROJECTS, EMBARKED ON 10 PALLETS WITH TOTAL GROSS WEIGHT OF 96000 KG.","Athens, Greece"
STUV9876543,IN 40 PALLETS CONTAINING FURNITURE AND DECORATIVE ITEMS FOR RESIDENTIAL USE ONLY. ,"Shanghai, China"
HGFJ1234567,"LOADED ON 25 PLT(S) POLYCARBONATE SHEETS, HS CODE 3904.20.","Istanbul, Turkey"
JKLZ6543210,EACH PALLETS CONTAINING ALUMINUM ROLLS AND WIRE FOR MANUFACTURING USE ONLY.,"Moscow, Russia"
MNOI9876543,"IN 45 PALLETS CONTAINING JEWELRY, ACCESSORIES, AND FINE CRAFTS FROM ITALY, SHIPPER DECLARES HS CODE 7117.","Rome, Italy"
PQRT7890123,18945 KGS 55.123 CUBIC METER 942 CARTON FASHION JEWELRY SETS HS CODES 711770. SHIPPER DECLARES.,"Hong Kong, China"
VWXY6543210,IN 35 PALLETS OF FOOD STUFF CONTAINING PERISHABLE PRODUCTS. ,"Shanghai, China"
MNOP9876545,LOADED ON 21 PLT(S) PVC SHEETING 2MM HS-CODE39239010.,"Guangzhou, China"
IJKL1234567,GRANADA 4.5% ABV BEER EACH 24/33CL BOTTLES CB 4160410 / 278214357.,"Dusseldorf, Germany"
CDEFG9876543,ON 7 PALLETS CONTAINING ALUMINUM FLAT ROLLS THICKNESS 4 MM WIDTH 1800 MM HS CODE 76061100. ,"Barcelona, Spain"
ZXCV8765432,12456 KGS 47.895 CUBIC METER 567 CARTON ELECTRONICS HS CODES 854240. SHIPPER DECLARES.,"Seoul, South Korea"
HGFY1234567,IN 42 PALLETS OF HOUSEHOLD FURNITURE CONTAINING SOFAS AND ARMCHAIRS.,"Milan, Italy"
MNOP9876546,LOADED ON 18 PLT(S) RUBBER TIRE SIZES 205/55R16 HS-CODE40059010.,"Istanbul, Turkey"
JKLZ1234568,ON 12 PALLETS CONTAINING MACHINERY PARTS NET WEIGHT 9457 KG CIF LOS ANGELES.,"Athens, Greece"
KJHGF9876543,GRANADA 6.5% ABV BEER EACH 24/33CL BOTTLES CB 4160410 / 278214357.,"Rome, Italy"
MNGI9876542,"21751 KGS 120.321 CUBIC METER 567 CARTON BATTERIES & ACCESSORIES HS CODES 850430,821220. SHIPPER DECLARES. ","Guangzhou, China"
VGHJ4567890,IN 30 PALLETS OF FURNITURE AND FURNISHING ITEMS FOR A HOTEL LOBBY AREA. ,"Shanghai, China"
NMIK1234567,LOADED ON 15 PLT(S) PVC SHEETING HS-CODE39242010. ,"Tokyo, Japan"
EFGH5432109,"45 CASES OF VACUUM CLEANERS WITH FUEL BATTERIES AND CORDS, TOTAL NET WEIGHT: 12365 KGS. ","Seoul, South Korea"
HIJK9876543,GRANOLA TYPE BARS EACH 24/42G PACKETS CB 4160410 / 278214357. ,Hong Kong
ZYXC8765432,"ON 11 PALLETS CONTAINING COILS ANCHOR ROD HOT-DIP GALVANIZED, SIZE 1.2X6MM NET WEIGHT 12465 KG CIF LOS ANGELES. ",Hong Kong
POIU1234567,1500 PCS TIRE CHANGING CAR JACK HS-CODE87092000. ,"Shenzhen, China"
QWERT4567890,IN 50 PALLETS OF FURNITURE AND FURNISHING ITEMS FOR A WAREHOUSE AREA. ,Singapore
LKJH5432109,ON 12 PLT(S) POLYETHYLENE FILM HS-CODE39029010. ,"Kuala Lumpur, Malaysia"
UIOP9876543,"LOADED ON 20 CASES OF BEVERAGES WITH FLAVORINGS AND COLORS, TOTAL NET WEIGHT: 9456 KGS. ","Jakarta, Indonesia"
PQRS9012345,13421 KGS 45.621 CUBIC METER 900 CARTON FURNITURE ACCESSORIES & HAND TOOLS HS CODES 83049010. SHIPPER DECLARES.,"Shanghai, China"
VWXZ5678901,IN 30 PALLETS OF ELECTRONIC COMPONENTS AND ASSOCIATED MACHINERY.,"Seoul, South Korea"
CDEFG1234567,LOADED ON 25 PLT(S) SILICONE BASED LUBRICANT HS-CODE32149090.,"Tokyo, Japan"
HIJKL0987654,CONTAINING 12000PCS 18KW HEAVY DUTY DIESEL GENERATOR SETS IN 6 PALLETS. ,Hong Kong
MNOPQ1234567,110 CARTON FURNITURE & DECORATION ITEMS (HS CODE 94034000) ON 8 PALLETS.,"Shenzhen, China"
STUVW3456789,5 PALLETS OF MECHANICAL PARTS AND ASSOCIATED TOOLS HS-CODE 73269090.,"Busan, South Korea"
QRSTU9876543,ON 15 PALLETS CONTAINING FABRICS & YARNS (HS CODE 5205) SHIPPER DECLARES.,"Ho Chi Minh City, Vietnam"
EFGHI9012345,IN 10 PALLETS OF FOODSTUFF AND SPICES HS-CODE 1704.,"Jakarta, Indonesia"
KLMNO1234567,LOADED ON 20 PLT(S) POLYURETHANE COATING MATERIAL (HS CODE 3208).,"Bangkok, Thailand"
ZYXWV9876543,CONTAINING 850 CARTON LIGHTS & LAMPS HS-CODE 94014050 IN 5 PALLETS.,"Manila, Philippines"
WXYZ9876543,23456 KGS 12.345 CUBIC METER 123 CARTON SPARE PARTS & TOOLS HS CODES 903220 SHIPPER DECLARES.,"Shenzhen, China"
POIU7890123,IN 30 PALLETS OF HOUSEHOLD FURNITURE CONTAINING LAMPS AND LIGHT FIXTURES.,"Hamburg, Germany"
GHIK3456789,LOADED ON 15 PLT(S) CERAMIC TABLEWARE HS-CODE69140010.,"Shenzhen, China"
KJHG4567890,GRIMBERGEN AMBREE 7.5% ABV. BEER EACH 24/33CL BOTTLES CB 4160410 / 278214358.,"Hamburg, Germany"
ZYXC1234567,ON 4 PALLETS CONTAINING WIRING HARNESS AND CONNECTORS SIN IMPRESION NET WEIGHT 8765 KG CIF LOS ANGELES.,"Shenzhen, China"
MNOO9876543,34567 KGS 90.123 CUBIC METER 456 CARTON ELECTRONICS & COMPONENTS HS CODES 854320 SHIPPER DECLARES.,"Hamburg, Germany"
STUV7654321,IN 25 PALLETS OF PLASTIC CONTAINERS FOR INDUSTRIAL USE.,"Shenzhen, China"
JKLZ0987654,LOADED ON 10 PLT(S) FABRIC DYE HS-CODE32059090.,"Hamburg, Germany"
WERT4567890,GRIMBERGEN AMBREE 8.5% ABV. BEER EACH 24/33CL BOTTLES CB 4160410 / 278214359.,"Shenzhen, China"
CDFG9876543,ON 6 PALLETS CONTAINING MECHANICAL PARTS AND ACCESSORIES SIN IMPRESION NET WEIGHT 1111 KG CIF HOUSTON.,"Hamburg, Germany"
PQRU9876543,15432 KGS 85.123 CUBIC METER 450 CARTON TOY PARTS & ACCESSORIES HS CODES 392690. SHIPPER DECLARES.,"Shenzhen, China"
NMXV5432156,IN 25 PALLETS OF ELECTRONIC COMPONENTS CONTAINING RARE EARTH MATERIALS.,"Seoul, South Korea"
VGBN9876541,LOADED ON 30 PLT(S) PHOSPHATE-FREE BATTERY TECHNOLOGY HS-CODE85167010.,"Tokyo, Japan"
JKLZ5678909,GRANOLA AND MUESLI MIXTURES IN BULK PACKAGING EACH 25KG SACKS CB 4160410 / 278214357.,"Hamburg, Germany"
KJHGF4321097,ON 18 PALLETS CONTAINING WIRE HARNESS AND ELECTRICAL CABLES HS CODES 8544.00.,"Shenzhen, China"
ZYXC3210987,IN 12 PALLET(S) OF FURNITURE PARTS AND COMPONENTS EACH 20 KG CBM 0.75 M³.,"Seoul, South Korea"
PQRU9876541,LOADED ON 40 PLT(S) CANNED FOOD PRODUCTS HS-CODE2008.,"Shenzhen, China"
NMXV5432159,GRANITE SLAB AND MARBLE TILES IN CONTAINERS EACH 20 KG CBM 1.5 M³.,"Mumbai, India"
VGBN9876543,ON 25 PALLETS OF ELECTRIC WIRE HARNESSES HS CODES 8544.00.,"Tokyo, Japan"
JKLZ5678907,IN 30 PALLET(S) CONTAINING CARBON STEEL WHEELS EACH 50 KG CBM 1 M³ HS-CODE8708.90.,"Shenzhen, China"
VWXY5432109,1543 KGS 45.321 CUBIC METER 120 CARTON NAILS & HINGES HS CODES 830820. SHIPPER DECLARES.,"Guangzhou, China"
RTFH6543210,IN 50 PALLETS OF ELECTRONICS AND ELECTRICAL EQUIPMENT CONTAINING FRAGILE ITEMS. ,"Tokyo, Japan"
KJHG7654321,LOADED ON 25 PLT(S) POLYETHYLENE FILM HS-CODE3206.10. ,"Busan, South Korea"
PQRS8765432,GRANOLA AND CEREALS EACH 1 KG BAGS CB 4160409 / 278214356.,"Sydney, Australia"
IJKL9876543,"ON 17 PALLETS CONTAINING BBL PVC FOAM SHEETS, ANCHO 100 MM SIN IMPRESION NET WEIGHT 3428 KG CIF LIVERPOOL. ",Singapore
MNOP0987654,2170 KGS 70.123 CUBIC METER 150 CARTON FURNITURE HS CODES 940330. SHIPPER DECLARES.,Hong Kong
STUV1098765,IN 75 PALLETS OF TOOLS AND EQUIPMENT CONTAINING DANGEROUS GOODS. ,"Melbourne, Australia"
WXYZ1234567,LOADED ON 30 PLT(S) NYLON CORD HS-CODE3926.40.,"Mumbai, India"
VBNM5432109,GRASS AND PEAT HORTICULTURAL PRODUCTS EACH 10 KG BAGS CB 4160411 / 278214358.,"Cape Town, South Africa"
RFGC7654321,"ON 29 PALLETS CONTAINING BBL ALUMINIUM SHEETS, ANCHO 150 MM SIN IMPRESION NET WEIGHT 6543 KG CIF DUBLIN. ","Bangkok, Thailand"
PQRT9876543,12345 KGS 50.523 CUBIC METER 700 CARTON TOY FIGURES & GAME HS CODES 950390. SHIPPER DECLARES.,"Guangzhou, China"
MNOP4567890,IN 35 PALLETS OF FURNITURE AND HOME DECOR CONTAINING FRAGILE ITEMS. ,"Tokyo, Japan"
IJKL1239876,"LOADED ON 15 PLT(S) POLYETHYLENE FILM 0,05 MM HS-CODE39151000. ","Seoul, South Korea"
FGHJ7654321,GRANDE ABUELA 75% COCOA SOLID CHOCOLATE EACH 200G PKGS CB 278214357 / 4160410. ,"Mexico City, Mexico"
VBCX9876543,ON 10 PALLETS CONTAINING FABRIC ROLL 100% POLYESTER 50 MM WIDTH. ,"Paris, France"
KJHGF5432107,56789 KGS 30.123 CUBIC METER 900 CARTON ELECTRONICS & ACCESSORIES HS CODES 84733020. SHIPPER DECLARES.,"Berlin, Germany"
ZYXC3456789,IN 50 PALLETS OF FASHION JEWELRY AND ACCESSORIES CONTAINING PRECIOUS METALS. ,"Hong Kong, China"
PQRS7654321,LOADED ON 20 PLT(S) ACRYLIC PAINT HS-CODE32091000. ,"Barcelona, Spain"
MNOP9876543,GRANDE ABUELA 75% COCOA SOLID CHOCOLATE EACH 200G PKGS CB 278214357 / 4160410. ,"Lima, Peru"
IJKL5432107,ON 15 PALLETS CONTAINING METAL SHEETS THICKNESS 2 MM WIDTH 1500 MM. ,"Istanbul, Turkey"
EFGH9876543,12534 KGS 45.321 CUBIC METER 342 CARTON PLATES & UTENSILS HS CODES 821420. SHIPPER DECLARES. ,"Guangzhou, China"
PQRS2345678,IN 30 PALLETS OF ELECTRONIC DEVICES AND ACCESSORIES CONTAINING VALUABLE ITEMS. ,"Tokyo, Japan"
MNOP5432197,LOADED ON 12 PLT(S) EPOXY RESIN A/B 5/1 1210 HS-CODE32141000. ,"Seoul, South Korea"
VWXYZ7654321,GRANOLA BARS EACH 6X24/40G CARTONS CB 278214360 / 41604110. ,"Sydney, Australia"
IJKL0987654,ON 15 PALLETS CONTAINING LPG TANKS WELDED 3000 LITER 130/70 IMPRESION NET WEIGHT 17500 KG CIF PANAMA. ,"Cape Town, South Africa"
FGHJ1112345,14579 KGS 37.523 CUBIC METER 900 CARTON PICTURES & FRAMES HS CODES 821410. SHIPPER DECLARES. ,"Bangkok, Thailand"
ZXCV7776543,IN 50 PALLETS OF FURNITURE AND HOME DECOR ITEMS CONTAINING DELICATE GOODS. ,Singapore
KJHGF1119876,LOADED ON 18 PLT(S) SOLVENT-BASED ACRYLIC PAINT 1000 HS-CODE32141010. ,"Mumbai, India"
ERTY3456543,CHOCOLATE COATED NUTS EACH 24/500G CARTONS CB 278214359 / 41604100. ,"Dubai, UAE"
UYTR4321098,ON 10 PALLETS CONTAINING WINDSCREEN GLASS TYPE 4 LAMINATED ANCHO 1280 MM X ALTO 1980 MM 230 KG NET WEIGHT CIF MONTEVIDEO. ,"Istanbul, Turkey"
EFGHI9876543,1456 KGS 45.123 CUBIC METER 221 CARTON LIGHT BULBS & SWITCHES HS CODES 940520. SHIPPER DECLARES.,"Shenzhen, China"
MNOPQ3210987,LOADED ON 12 PLT(S) OF FURNITURE PARTS CONTAINING METAL AND WOODEN MATERIAL. ,"Shanghai, China"
STUVW1234567,IN 30 PALLETS OF FOOD PRODUCTS WITH EXPIRATION DATE 2024-01-01. ,"Hamburg, Germany"
PQRSX9876543,3000 KGS 120 CUBIC METER 400 BAGS OF COFFEE BEANS HS CODE 0901 SHIPPER DECLARES. ,"Los Angeles, USA"
WXYZ1234567,ON 10 PALLETS CONTAINING FURNITURE AND HOUSEHOLD ITEMS. ,"Shanghai, China"
IJKL1234567,IN 20 PLT(S) OF COSMETICS AND SKIN CARE PRODUCTS CONTAINING FRAGILE GOODS. ,"Shenzhen, China"
MNOP1234567,LOADED ON 25 PLT(S) ELASTOSIL 5000BLACK S1 HS-CODE32141010. ,"Hamburg, Germany"
STUVW9876543,GRIMBERGEN AMBREE 6.5% ABV. BEER EACH 24/33CL BOTTLES CB 4160410 / 278214357. ,"Hamburg, Germany"
PQRSX1234567,ON 15 PALLETS CONTAINING PACKAGING MATERIALS AND SUPPLIES NET WEIGHT 8765 KG CIF GUAYMAS. ,"Hamburg, Germany"
WXYZ9876543,IN 40 PLT(S) OF CAR PARTS CONTAINING METAL AND PNEUMATIC SYSTEM COMPONENTS HS CODE 8708 SHIPPER DECLARES.,"Shanghai, China"
MNOP9876543,13453 KGS 35.275 CUBIC METER 475 CARTON SPARE PARTS FOR MACHINERY HS CODES 8409.10 SHIPPER DECLARES.,"Shenzhen, China"
VWXZ1234567,LOADED ON 30 PLT(S) TEXTILES AND LINENS.,"Guangzhou, China"
QPAS9876541,IN 20 PALLETS OF FURNITURE PARTS AND ACCESSORIES CONTAINING DANGEROUS GOODS.,"Hamburg, Germany"
ERTYUIOP1234,56789 KGS 10.512 CUBIC METER 1200 CARTON PLASTIC PRODUCTS HS CODES 3926.40 SHIPPER DECLARES.,"Shanghai, China"
IJKLZ6543219,ON 12 PALLETS CONTAINING FERTILIZERS AND SOIL CONDITIONERS NET WEIGHT 2345 KG CIF MEXICO CITY.,"Hamburg, Germany"
GHIJ9876543,LOADED ON 25 PLT(S) FOODSTUFFS AND EDIBLE OILS HS-CODE 15169000.,"Guangzhou, China"
KLMN0987654,IN 18 PALLETS OF TOYS AND GAMES CONTAINING DANGEROUS GOODS.,"Shenzhen, China"
RSTU4567890,ON 15 PALLETS CONTAINING METAL FABRICATED PRODUCTS NET WEIGHT 4321 KG CIF HOUSTON.,"Hamburg, Germany"
CVBN6543210,LOADED ON 22 PLT(S) ELECTRICAL MACHINERY PARTS HS-CODE 8507.10.,"Shanghai, China"
JKLH1234567,567 KGS 9.021 CUBIC METER 135 CARTON FURNITURE AND DECORATIONS HS CODES 9403.40 SHIPPER DECLARES.,"Shenzhen, China"
MNOP1234567,14232 KGS 50.325 CUBIC METER 432 CARTON NAILS & HARDWARE HS CODES 8209. SHIPPER DECLARES. ,"Shanghai, China"
VWXY9876543,IN 30 PALLETS OF ELECTRONICS AND COMPUTER PARTS CONTAINING VALUABLE ITEMS. ,"Tokyo, Japan"
QPAS1234567,LOADED ON 25 PLT(S) SILICONE SEALANT MUSK S1 HS-CODE32141010. ,"Seoul, South Korea"
IJKL1234567,GRIMBERGEN AMBREE 6.5% ABV. BEER EACH 24/33CL BOTTLES CB 4160410 / 278214357. ,Hong Kong
RTUV4321098,ON 15 PALLETS CONTAINING GYM EQUIPMENT AND MACHINERY HS CODES 8439. SHIPPER DECLARES. ,"Bangkok, Thailand"
EFGH9876543,IN 50 CARTONS OF FURNITURE PARTS AND ACCESSORIES CONTAINING PACKAGING MATERIALS. ,"Ho Chi Minh City, Vietnam"
CDFG1234567,LOADED ON 35 PLT(S) LEATHER GOODS HS-CODE4309. ,"Kuala Lumpur, Malaysia"
HJKL4321098,GRANDE AMBIANCE 4% ABV. BEER EACH 24/33CL BOTTLES CB 4160410 / 278214357. ,"Jakarta, Indonesia"
ZYXC9876543,ON 20 PALLETS CONTAINING TEXTILES AND APPAREL HS CODES 6309. SHIPPER DECLARES. ,"Manila, Philippines"
MNOP4321098,IN 45 CARTONS OF PAPER PRODUCTS AND PACKAGING MATERIALS CONTAINING BOOKS. ,Singapore
VRTY6543210,17585 KGS 35.141 CUBIC METER 1356 CARTON KNIVES & CUTLERY HS CODES 821110. SHIPPER DECLARES.,"Seoul, South Korea"
QWERT7890123,IN 50 PALLETS OF PHARMACEUTICAL PRODUCTS AND MEDICINE CONTAINING HAZARDOUS MATERIALS. ,"Tokyo, Japan"
ASDFGH5678901,LOADED ON 15 PLT(S) POLYETHYLENE SHEETING 0.5MM HS-CODE39201010.,"Shenzhen, China"
ZXCVB1234567,12000 KGS 22.111 CUBIC METER 750 CARTON FURNITURE HS CODES 940190. SHIPPER DECLARES.,"Shanghai, China"
POIUY0987654,"ON 12 PALLETS CONTAINING PVC TUBE AND ACCESSORIES, NET WEIGHT 7685 KG CIF GUAYMAS.",Hong Kong
MNOPQ3210987,IN 20 PLT(S) OF FURNITURE AND HOME DECOR PRODUCTS.,"Barcelona, Spain"
IJKLX9876543,LOADED ON 18 PLT(S) CEMENT POWDER HS-CODE2529.10.,"Madrid, Spain"
RTYUI5432109,GRIMBERGEN AMBREE 5.6% ABV. BEER EACH 24/33CL BOTTLES CB 4160410 / 278214357.,"Amsterdam, Netherlands"
WVXZC8765432,ON 25 PALLETS CONTAINING WOODEN CRATES AND PACKAGING MATERIALS NET WEIGHT 13620 KG CIF MANAGUA.,"Paris, France"
FGHJK7654321,IN 60 PALLETS OF ELECTRONIC PRODUCTS AND EQUIPMENT CONTAINING HAZARDOUS COMPONENTS.,"Rome, Italy"
VWKU0987654,54321 KGS 40.123 CUBIC METER 789 CARTON FURNITURE & HARDWARE HS CODES 940130. SHIPPER DECLARES.,"Guangzhou, China"
GHIJ6543210,IN 25 PALLETS OF TOYS AND PLAYSET CONTAINING DANGEROUS GOODS FOR CHILDREN. ,"Shanghai, China"
MNOP7654321,LOADED ON 30 PLT(S) NYLON STRING S5 HS-CODE56091010.,"Shenzhen, China"
FDSA8765432,GRIMBERGEN AMBREE 7.0% ABV. BEER EACH 24/33CL BOTTLES CB 4160411 / 278214358.,"Shanghai, China"
ERTY9876543,ON 10 PALLETS CONTAINING FABRIC TREATED WITH WATER REPELLENT CHEMICALS - HS CODE 5205.00,"Guangzhou, China"
BNVZ7654321,87654 KGS 30.123 CUBIC METER 321 CARTON FURNITURE & HARDWARE HS CODES 940120.,"Shanghai, China"
ZXCV0987654,IN 45 PALLETS OF TEXTILES AND LINENS CONTAINING NATURAL FIBER PRODUCTS ,"Guangzhou, China"
IJKL1234567,LOADED ON 20 PLT(S) SYNTHETIC FABRIC HS-CODE5205.10.,"Shenzhen, China"
PQRU8765432,GRIMBERGEN AMBREE 9.0% ABV. BEER EACH 24/33CL BOTTLES CB 4160413 / 278214360.,"Shanghai, China"
MNOI7654321,ON 15 PALLETS CONTAINING CABLE TIE & ADHESIVES HS CODE 4016.00,"Guangzhou, China"
QWERT4321876,12000 KGS 25.124 CUBIC METER 500 CARTONS SHOES HS CODES 650510. SHIPPER DECLARES. ,"Shenzhen, China"
MNOPR9876541,IN 30 PALLETS OF ELECTRONICS CONTAINING LAPTOP PARTS AND ACCESSORIES. ,"Seoul, South Korea"
POIUY1234569,LOADED ON 25 PLT(S) RUBBER TUBES HS-CODE40139090. ,"Tokyo, Japan"
QWERT5432108,GRANOLA BARS EACH 20/150G PACKS CB 28344110 / 425624876. ,"Bangkok, Thailand"
JKLZX6543210,ON 12 PALLETS CONTAINING MACHINERY PARTS HS-CODE84282080 NET WEIGHT 4800 KG CIF NEW YORK. ,"Taipei, Taiwan"
MNOPR7654321,15000 KGS 35.182 CUBIC METER 300 CARTONS BOOKS HS CODES 490100. SHIPPER DECLARES. ,"Mumbai, India"
POIUY8765432,IN 15 PALLETS OF FURNITURE PARTS AND KITCHEN EQUIPMENT. ,"Kuala Lumpur, Malaysia"
QWERT7654321,LOADED ON 20 PLT(S) PLASTIC TUBES HS-CODE39239090. ,Hong Kong
JKLZX6543219,20000 KGS 45.621 CUBIC METER 400 CARTONS PAPER PRODUCTS HS CODES 481920. SHIPPER DECLARES. ,"Jakarta, Indonesia"
MNOPR7654320,ON 8 PALLETS CONTAINING CHEMICALS AND LABORATORY EQUIPMENT HS-CODE38229080 NET WEIGHT 6400 KG CIF DALLAS. ,Singapore
PQRS9876543,54321 KGS 23.456 CUBIC METER 123 CARTON SOFA SPARROW HS CODES 94017020. SHIPPER DECLARES.,"Tokyo, Japan"
MNOP11223344,IN 30 PALLETS OF ELECTRONICS CONTAINING CLASSIFIED DOCUMENTS. ,"Seoul, South Korea"
VWXYZ65432109,LOADED ON 18 PLT(S) POLYCARBONATE SHEETS HS-CODE39269040.,"Mumbai, India"
FGHT11223344,GRAND PRIX 1L EACH CB 4251150 / 234567891. ,"Moscow, Russia"
ERTY9876543210,ON 7 PALLETS CONTAINING BBL DUCTILE IRON PIPES HS CODE 73041190 NET WEIGHT 8765 KG CIF ROTTERDAM.,"Sydney, Australia"
CDEFG43210987,IN 50 CARTONS OF TOYS AND GAMES FOR CHILDREN INCLUDING DOLLS AND STUFFED ANIMALS HS CODE 95030020.,"Bangkok, Thailand"
KLMN54321543,LOADED ON 25 PLT(S) SOLVENTS AND ADHESIVES CLASSIFIED AS HAZARDOUS GOODS HS-CODE32149000.,"Beijing, China"
PQRST65432109,GRAND AMBREE 4.5% ABV. BEER EACH 24/33CL BOTTLES CB 4160410 / 278214357.,"Cape Town, South Africa"
IJHGF87654321,ON 15 PALLETS CONTAINING MACHINERY PARTS HS CODE 84283990 NET WEIGHT 3456 KG CIF CHANGSHA.,Hong Kong
ZYXC0987654321,IN 40 CARTONS OF TEXTILES AND YARNS INCLUDING COTTON YARN HS CODE 52051100.,"Shanghai, China"
